Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
74hc595,74HC595_1,SOIC-16_3.9x9.9mm_P1.27mm,99.6,-86.9,90,bottom
74hc595_2,74HC595_2,SOIC-16_3.9x9.9mm_P1.27mm,200.6,-86.9,90,bottom
C1,100nF,C_0603_1608Metric,106.4,-83.275,270,bottom
C2,100nF,C_0603_1608Metric,137.3,-93.3,0,bottom
C3,100nF,C_0603_1608Metric,206.9,-83.3,270,bottom
R1,R_Small,R_0603_1608Metric,71.8,-65.4,180,bottom
R2,R_Small,R_0603_1608Metric,72.325,-108.7,0,bottom
R3,R_Small,R_0603_1608Metric,94.8,-65.4,180,bottom
R4,R_Small,R_0603_1608Metric,94.2,-108.7,0,bottom
R5,R_Small,R_0603_1608Metric,115.625,-65.6,0,bottom
R6,R_Small,R_0603_1608Metric,116.675,-108.7,180,bottom
R7,R_Small,R_0603_1608Metric,138.325,-65.4,0,bottom
R8,R_Small,R_0603_1608Metric,136.375,-108.7,180,bottom
R9,R_Small,R_0603_1608Metric,162.275,-65.4,180,bottom
R10,R_Small,R_0603_1608Metric,164.025,-108.7,0,bottom
R11,R_Small,R_0603_1608Metric,186.175,-65.4,180,bottom
R12,R_Small,R_0603_1608Metric,185.825,-108.7,0,bottom
R13,R_Small,R_0603_1608Metric,206.5,-65.4,0,bottom
R14,R_Small,R_0603_1608Metric,206.775,-108.7,180,bottom
R15,R_Small,R_0603_1608Metric,228.475,-65.4,0,bottom
R16,R_Small,R_0603_1608Metric,228.925,-108.8,180,bottom
cd4067d1,CD74HC4067SM,SOIC127P1030X265-24N,147.15,-86.85,270,bottom
