Comment	Designator	Footprint	Quantity
LOGO-SFENEW		LOGO-SFENEW	1
_	JP6,JP7,X1,D2		4
OSHW-LOGOS		OSHW-LOGOS	1
1uF	C10,C5,C6	1uF	3
10uF	C13,C19	10uF	2
1K	R11	1K	1
Red	LED1	Red	1
10K	R2	10K	1
0.1uF	C3,C1	0.1uF	2
330	R6,R4	330	2
Green	D3	Green	1
MIC5219	U2	MIC5219	1
LOGO-SFESK		LOGO-SFESK	1
ATMEGA32U4	U3	ATMEGA32U4	1
16MHz	Y1	16MHz	1
22pF	C2,C4	22pF	2
Yellow	D1	Yellow	1
22	R5,R7	22	2
FIDUCIALUFIDUCIAL	,	FIDUCIALUFIDUCIAL	2
500mA	F1	500mA	1
Closed for 5V Board	SJ1	Closed for 5V Board	1
FRAME-LETTER		FRAME-LETTER	1
